name,owner,url,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
qlib,microsoft,https://github.com/microsoft/qlib,2020-08-14T06:46:00Z,2026-03-06T01:50:16Z,Python,750,23,1043,762
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,2026-03-05T22:52:30Z,Java,191,44,4965,2898
lapce,lapce,https://github.com/lapce/lapce,2018-02-06T08:41:06Z,2026-03-05T22:16:45Z,Rust,1177,35,2011,1200
istio,istio,https://github.com/istio/istio,2016-11-18T23:57:21Z,2026-03-05T23:52:29Z,Go,29470,423,21708,21284
halo,halo-dev,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,2026-03-05T19:46:00Z,Java,2953,250,4578,4344
insomnia,Kong,https://github.com/Kong/insomnia,2016-04-23T03:54:26Z,2026-03-05T22:15:33Z,TypeScript,3749,547,3977,3252
ant-design-pro,ant-design,https://github.com/ant-design/ant-design-pro,2017-08-25T10:40:44Z,2026-03-05T15:34:27Z,TypeScript,1025,26,9800,9625
litellm,BerriAI,https://github.com/BerriAI/litellm,2023-07-27T00:09:52Z,2026-03-06T01:54:19Z,Python,9724,1000,9264,8455
tesseract.js,naptha,https://github.com/naptha/tesseract.js,2015-06-24T02:49:52Z,2026-03-06T01:49:45Z,JavaScript,204,57,734,703
aspnetcore,dotnet,https://github.com/dotnet/aspnetcore,2014-03-11T06:09:42Z,2026-03-06T01:40:15Z,C#,18597,275,38651,35099
wtfjs,denysdovhan,https://github.com/denysdovhan/wtfjs,2017-07-14T15:42:12Z,2026-03-05T23:18:03Z,JavaScript,125,25,118,96
metasploit-framework,rapid7,https://github.com/rapid7/metasploit-framework,2011-08-30T06:13:20Z,2026-03-05T21:54:22Z,Ruby,11661,0,6427,5952
cli,httpie,https://github.com/httpie/cli,2012-02-25T12:39:13Z,2026-03-05T22:26:24Z,Python,406,47,910,723
freecodecamp.cn,FreeCodeCampChina,https://github.com/FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,2026-03-05T04:38:14Z,CSS,55,0,587,445
polars,pola-rs,https://github.com/pola-rs/polars,2020-05-13T19:45:33Z,2026-03-06T01:22:43Z,Rust,12721,248,12429,9913
interview,huihut,https://github.com/huihut/interview,2018-02-09T09:49:48Z,2026-03-05T15:55:46Z,C++,36,0,66,65
ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,2021-03-30T08:51:34Z,2026-03-06T01:00:48Z,JavaScript,7737,451,5153,4538
ui-ux-pro-max-skill,nextlevelbuilder,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,2026-03-06T01:54:33Z,Python,60,14,68,27
Folo,RSSNext,https://github.com/RSSNext/Folo,2024-04-08T03:23:35Z,2026-03-06T01:28:28Z,TypeScript,1432,93,2566,2184
v,vlang,https://github.com/vlang/v,2019-02-08T02:57:06Z,2026-03-05T20:45:33Z,V,13076,302,10268,9155
outline,outline,https://github.com/outline/outline,2016-05-22T21:31:47Z,2026-03-06T01:26:25Z,TypeScript,4170,157,3916,3879
Open-Assistant,LAION-AI,https://github.com/LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,2026-03-05T20:35:44Z,Python,1616,127,1646,1419
NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,2026-03-05T17:33:51Z,Java,1795,140,10105,8779
Langchain-Chatchat,chatchat-space,https://github.com/chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,2026-03-06T01:10:44Z,Python,621,31,4237,4230
google-research,google-research,https://github.com/google-research/google-research,2018-10-04T18:42:48Z,2026-03-05T20:37:24Z,Jupyter Notebook,29,0,1440,348
GFPGAN,TencentARC,https://github.com/TencentARC/GFPGAN,2021-03-19T06:18:20Z,2026-03-05T20:01:42Z,Python,14,8,509,135
it-tools,CorentinTh,https://github.com/CorentinTh/it-tools,2020-04-05T11:50:24Z,2026-03-06T01:33:57Z,Vue,493,10,672,218
tutorials,eugenp,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,2026-03-05T20:14:40Z,Java,13718,0,791,773
taro,NervJS,https://github.com/NervJS/taro,2018-04-08T09:32:26Z,2026-03-06T00:52:56Z,TypeScript,3465,207,13110,11493
