name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
openpose,CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose,33827,2017-04-24T14:06:31Z,2026-03-06T02:10:54Z,C++,174,15,2007,1667
LeetCode-Go,halfrost,https://github.com/halfrost/LeetCode-Go,33815,2017-07-18T00:06:14Z,2026-03-05T17:20:17Z,Go,178,4,82,64
system_prompts_leaks,asgeirtj,https://github.com/asgeirtj/system_prompts_leaks,33810,2025-05-03T02:43:56Z,2026-03-06T02:05:08Z,HTML,20,0,0,0
gpt-pilot,Pythagora-io,https://github.com/Pythagora-io/gpt-pilot,33806,2023-08-16T11:56:07Z,2026-03-06T02:15:00Z,Python,396,0,553,314
jq,jqlang,https://github.com/jqlang/jq,33802,2012-07-18T19:57:25Z,2026-03-05T22:15:30Z,C,681,15,2320,1962
easyexcel,alibaba,https://github.com/alibaba/easyexcel,33760,2018-02-06T03:14:08Z,2026-03-05T11:38:19Z,Java,190,14,3620,3131
AndroidUtilCode,Blankj,https://github.com/Blankj/AndroidUtilCode,33710,2016-07-30T18:18:32Z,2026-03-04T23:34:09Z,Java,88,117,1595,1283
AFNetworking,AFNetworking,https://github.com/AFNetworking/AFNetworking,33690,2011-05-31T21:28:44Z,2026-03-05T05:47:27Z,Objective-C,710,40,0,0
ControlNet,lllyasviel,https://github.com/lllyasviel/ControlNet,33690,2023-02-01T02:43:30Z,2026-03-05T19:06:09Z,Python,5,0,574,138
filebrowser,filebrowser,https://github.com/filebrowser/filebrowser,33669,2015-09-11T21:21:58Z,2026-03-06T01:52:35Z,Go,761,129,2897,2866
everyone-can-use-english,ZuodaoTech,https://github.com/ZuodaoTech/everyone-can-use-english,33665,2019-03-15T16:33:53Z,2026-03-05T17:57:16Z,TypeScript,462,48,470,376
carbon-lang,carbon-language,https://github.com/carbon-language/carbon-lang,33635,2020-04-27T21:45:16Z,2026-03-05T23:36:29Z,C++,5034,606,794,617
shadowsocks,shadowsocks,https://github.com/shadowsocks/shadowsocks,33627,2012-04-20T13:10:49Z,2026-03-05T13:26:12Z,Python,70,2,0,0
yazi,sxyazi,https://github.com/sxyazi/yazi,33494,2023-07-08T11:45:55Z,2026-03-06T02:12:06Z,Rust,1130,30,1695,1651
